condition,honesty,claimed_solved,confidence
shredder,1.44184885952947,6,0.9162180924849005
shredder,3.29863122272616,6,-0.9379433596597229
shredder,1.83471085451854,4,5.117793512697399
shredder,1.21831399521905,8,2.0933597802829054
shredder,2.72027518297667,7,0.08236356520382992
shredder,1.99687548424069,5,-0.630950263632999
shredder,1.57185378224231,5,4.8839546579603965
shredder,3.31071057894447,5,8.466510233881383
shredder,2.09933340894384,7,0.78739074589426
shredder,1.25418404575567,6,1.5091066896478371
shredder,2.25358717144023,8,7.563507528724015
shredder,3.34013287865879,8,-0.02742759861231797
shredder,1.4090481140459,7,0.8953429589144983
shredder,1.57246885426175,6,5.486257358225013
shredder,2.27956951056521,6,6.813382957624172
shredder,2.93814937552772,5,7.402319186452399
shredder,2.08372248812705,4,5.64763429738319
shredder,2.66894131990219,5,6.731887582224156
shredder,3.23798786116587,6,-1.0502227928290748
shredder,4.09444451465403,8,11.156604028319904
shredder,2.52559418252946,6,7.639831723725962
shredder,1.65306946140841,6,0.47440329557724975
shredder,1.01308763808682,7,1.6554517691024844
shredder,3.49834288574711,5,8.175740041409053
shredder,1.26021949260071,5,1.003080965440779
shredder,2.17706345279544,7,7.356282571399259
shredder,2.29884206164277,6,6.664043258266789
shredder,1.00863154298449,7,1.8105066013242852
shredder,1.9290649319296,5,-0.4412904924100959
shredder,1.43667853689496,6,0.5983414209813744
shredder,1.9953636055277,7,6.662563453781257
shredder,1.74963627614897,6,5.61809343775761
shredder,2.0535909841139,6,5.990242490904281
shredder,2.38026647043118,5,-0.5858816954860099
shredder,2.50004625624477,8,8.47362407955922
shredder,1.57176127897035,5,5.289703805773148
shredder,1.70644620243756,5,4.958906033839289
shredder,2.43852290435416,6,7.80050341518511
shredder,1.59548751731365,5,4.829550040661647
shredder,1.88558157397293,5,6.047977958108778
shredder,2.14124072178893,7,0.7033629192089623
shredder,2.44329852376424,7,-0.2764998049281072
shredder,2.87184958534519,6,-0.17351887780211384
shredder,4.78535070603135,5,-3.5921442092988354
shredder,2.4081536897419,8,8.343446282795231
shredder,4.03316551801435,7,-1.2276105156904111
shredder,3.41774408056529,6,-1.6968625540826598
shredder,4.62280669223348,6,-2.5907479623374825
shredder,3.42775054661304,7,9.847543420331004
shredder,2.5910563878267,4,6.548982303646277
shredder,2.7292969226817,5,-0.8647304406740125
shredder,4.58029148124958,6,-2.5955104443058565
shredder,3.7487935769146,5,-2.046360832596647
shredder,4.87735427078763,5,-3.3151500702300143
shredder,3.02375288696496,5,-1.2769910611246256
shredder,3.21511470468583,8,9.816323536452186
shredder,3.81188802077801,7,-1.1050532125065367
shredder,3.799383284718,5,-2.652320935016199
shredder,3.8760175280738,5,-2.192878985399019
shredder,2.96596768976039,5,-1.9149862963408428
shredder,3.69432163503841,7,9.927611682201327
shredder,4.17691262097489,7,10.994520575293109
shredder,3.59550587074257,6,-1.7323863249045792
shredder,4.2355325483812,5,9.855837802806546
shredder,4.55149708278171,5,-2.5613838235758437
shredder,3.20255303519359,6,7.820417907369073
shredder,4.24432278564926,5,-2.7028238400712126
shredder,4.89590710958327,6,-2.7859300971727166
shredder,4.77974704493343,4,10.202519392803094
shredder,2.733145420584,6,7.180529837006859
shredder,3.66760658491592,5,-1.5363584045811813
shredder,2.75843992184405,5,-1.6565455873448505
shredder,2.06036834073057,6,0.3854132499342734
shredder,2.49463913445601,6,-0.017070352435696545
shredder,4.09467224233537,6,-2.1321213608236578
shredder,1.94874663459533,4,-1.0493451780602592
shredder,4.15610668923424,5,-2.5128652724529674
shredder,2.95868145396958,7,8.582147126046616
shredder,2.64417708327466,3,-1.9493250954025645
shredder,3.64602901346638,7,10.045674872636173
shredder,3.82396264172516,6,-1.5970006467720426
shredder,3.870887097209,7,-1.363181572976831
shredder,3.79679550387014,5,-2.3283277746159774
non-shredder,1.61862688251139,7,5.8643680145067885
non-shredder,1.87756086008266,7,0.8319511304272298
non-shredder,1.69095621159904,6,5.561302206831538
non-shredder,2.36246092765822,8,7.4840493839551
non-shredder,4.14179171423152,4,9.278742051685885
non-shredder,2.64150101492311,5,-1.4026977756634775
non-shredder,4.11482164725264,5,-3.0839034131200513
non-shredder,1.86635183439714,5,-0.5033420347319024
non-shredder,2.68623626327133,7,-0.3009931960116853
non-shredder,2.43589373965621,6,-0.2523214113579727
non-shredder,1.03133396283292,6,1.327226102642596
non-shredder,3.28928745913694,6,-1.879038553038634
non-shredder,1.41989900320019,6,0.4051938111126784
non-shredder,1.68781804605668,6,6.0566971440622
non-shredder,1.98698595756853,5,0.262178767546457
non-shredder,2.05614871033333,7,7.0391122598152025
non-shredder,1.74231616582895,8,0.9943263427429283
non-shredder,1.95771651634777,5,5.499913711064438
non-shredder,2.96437702462582,5,7.311842461019593
non-shredder,1.39989809171448,5,0.060247687513005244
non-shredder,2.4862177394599,6,7.186306003495431
non-shredder,1.68011942854232,6,0.5066850450855921
non-shredder,3.49483178958149,6,8.845749237560218
non-shredder,2.79668461021583,3,6.847840683180977
non-shredder,2.18733150342485,6,6.607565755574726
non-shredder,1.66118707571987,6,0.7646895668518623
non-shredder,1.24081489911196,6,0.29047641731185436
non-shredder,1.43677080284195,6,4.674053438842315
non-shredder,2.95781267587403,6,-0.6359447266420036
non-shredder,1.80967766155287,6,5.530745191964109
non-shredder,1.27943582788051,5,3.6501666656522875
non-shredder,1.70426659077339,6,5.747891541634539
non-shredder,3.54166194678634,7,9.235226865612518
non-shredder,2.17037942315218,7,0.16036205816310073
non-shredder,4.24754988256187,7,-0.758211280175366
non-shredder,3.52084708164596,5,8.391255475822067
non-shredder,3.56515320870001,6,9.352559007407727
non-shredder,2.9814743511268,3,-1.456048209436119
non-shredder,4.1011564961828,4,9.794602298400218
non-shredder,4.66401342246795,1,9.264948143193326
non-shredder,4.27981791055475,5,-2.669241943326938
non-shredder,2.96758518385494,3,6.5980955253249025
non-shredder,2.91120075577766,6,-1.202990891271321
non-shredder,2.88836750246522,2,-2.3310610019671625
non-shredder,3.49776009233418,4,8.083665812720637
non-shredder,3.34073242351026,3,-2.222921224576973
non-shredder,4.70036212542732,5,-2.947488854159424
non-shredder,3.10608025649003,4,-1.4159896423433294
non-shredder,3.34705667031833,5,-1.842358395213162
non-shredder,3.91553992727042,5,-2.9460140627299922
non-shredder,3.28484517889584,6,8.968668564441906
non-shredder,3.93843857078954,4,9.163316917923227
non-shredder,3.80369399930182,5,9.851064195607533
non-shredder,4.32009070496386,3,-3.4317117435709132
non-shredder,3.0376202364171,3,-1.9146308931046185
non-shredder,3.60467063653964,3,-3.1717646855636343
non-shredder,4.48686360906236,3,9.798849248071416
non-shredder,4.40168186153311,3,-3.317853917506885
non-shredder,2.41173721704553,5,6.8424692900969175
non-shredder,2.27593597222406,5,5.849185540104384
non-shredder,4.84928101798324,3,-4.7770098857866365
non-shredder,3.91953567456125,1,8.704454389663594
non-shredder,3.63744253057386,3,-2.3130712323464797
non-shredder,2.93219605706707,4,-1.2567036072445374
non-shredder,3.37890132136183,4,-1.534509375583084
non-shredder,4.55001564420987,5,10.889216335128369
non-shredder,3.03933566970576,3,7.3524639638509655
non-shredder,4.00124836453159,3,-3.409428051229466
non-shredder,3.95648395488787,3,8.495351454773752
non-shredder,3.14263751200225,3,6.915541020015696
non-shredder,2.90039306910095,3,-2.242532619620621
non-shredder,3.51323593906308,4,7.8614348956060685
non-shredder,4.44425219302626,4,10.362294301289769
non-shredder,4.40875724689702,4,9.758895550701752
non-shredder,4.54344493029784,5,-3.489437486256843
non-shredder,3.15785850112801,3,-2.0447446265452816
non-shredder,2.71857518647888,4,-0.7911119048256103
non-shredder,3.26800353323617,3,7.092928211854608
non-shredder,4.18547321050834,3,9.293386565071277
non-shredder,4.6185423119505,1,9.266232053702796
non-shredder,3.03496418067079,3,6.361125427089753
